City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Krasnoselkup,RU,65.7,82.4667,27.01,92,100,8.41,overcast clouds
272,Oregon,US,44.0001,-120.5014,50.0,20,1,16.11,clear sky
273,Mulheim-Karlich,DE,50.3833,7.5,34.0,76,62,13.49,broken clouds
274,Upernavik,GL,72.7868,-56.1549,4.57,82,100,4.09,overcast clouds
275,Saint-Pierre,RE,-21.3393,55.4781,78.8,69,0,6.91,clear sky
276,Mar Del Plata,AR,-38.0023,-57.5575,70.0,94,20,10.36,few clouds
277,Pisco,PE,-13.7,-76.2167,71.6,73,0,19.57,clear sky
278,Haines Junction,CA,60.7522,-137.5108,26.6,80,100,3.44,light snow
279,Southbridge,US,42.0751,-72.0334,53.6,22,75,18.41,broken clouds
280,San Rafael,AR,-34.6177,-68.3301,76.12,48,92,7.61,overcast clouds
281,Mirzapur,IN,25.15,82.5833,77.94,9,20,5.7,few clouds
282,Kirksville,US,40.1948,-92.5833,78.8,38,1,14.97,clear sky
283,Longyearbyen,SJ,78.2186,15.6401,12.2,67,40,17.27,scattered clouds
284,Sawakin,SD,19.1059,37.3321,74.52,74,1,5.61,clear sky
285,Vostok,RU,46.4856,135.8833,36.12,62,99,5.06,light rain
286,Shimoni,KE,-4.6476,39.3817,80.83,80,79,11.72,light rain
287,Narsaq,GL,60.9167,-46.05,39.2,75,75,1.14,broken clouds
288,Chapais,CA,49.7834,-74.8492,39.2,33,1,12.66,clear sky
289,Asekeyevo,RU,53.5742,52.7972,30.11,94,79,5.91,broken clouds
290,Cayenne,GF,4.9333,-52.3333,81.0,89,75,4.61,broken clouds
291,Abalak,RU,58.1286,68.5944,32.56,97,100,12.73,light snow
292,Sorland,NO,67.667,12.6934,36.55,96,99,31.61,light rain
293,San Patricio,US,28.017,-97.5169,77.0,69,75,20.71,broken clouds
294,Haicheng,CN,40.8516,122.7475,50.22,40,94,3.62,overcast clouds
295,Rawson,AR,-43.3002,-65.1023,59.97,78,100,20.51,overcast clouds
296,Pevek,RU,69.7008,170.3133,-11.52,98,100,5.32,overcast clouds
297,Ponta Delgada,PT,37.7333,-25.6667,60.8,94,75,10.36,broken clouds
298,Piskivka,UA,50.6938,29.6193,39.0,56,26,8.95,scattered clouds
299,Santa Maria,BR,-29.6842,-53.8069,75.2,78,0,3.44,clear sky
300,Kangaatsiaq,GL,68.3065,-53.4641,21.15,80,100,10.38,overcast clouds
301,Ostersund,SE,63.1792,14.6357,30.0,93,75,19.57,light snow
302,Roald,NO,62.5833,6.1333,37.4,75,90,24.16,overcast clouds
303,Merauke,ID,-8.4667,140.3333,80.82,80,92,5.06,overcast clouds
304,Arandis,NA,-22.4167,14.9667,60.01,93,1,7.0,clear sky
305,Novobiryusinskiy,RU,56.9578,97.7076,29.39,97,95,2.98,overcast clouds
306,Kargil,IN,34.5667,76.1,29.1,73,99,2.35,overcast clouds
307,Nkowakowa,ZA,-23.8878,30.2871,60.8,59,0,5.75,clear sky
308,Kokkola,FI,63.8385,23.1307,30.99,86,0,14.97,clear sky
